side,role,platform_fee_rate,platform_fee_asset,exchange_fee_rate,exchange_fee_asset,fee_mismatch,asset_mismatch,difference,sign_mismatch
Ask,Maker,-0.0011396952104499,aux,0.0,quote,True,True,-0.0011396952104499,False
Ask,Maker,-0.0006678156748911,aux,0.0,quote,True,True,-0.0006678156748911,False
Bid,Maker,-0.0010487769575915,aux,0.0,base,True,True,-0.0010487769575915,False
Bid,Maker,-0.00792,quote,0.0,base,True,True,-0.00792,False
Ask,Maker,-0.0014226664777557,aux,0.0,quote,True,True,-0.0014226664777557,False
Ask,Maker,-0.0011502898345822,aux,0.0,quote,True,True,-0.0011502898345822,False
Bid,Maker,-0.0006626131221719,aux,0.0,base,True,True,-0.0006626131221719,False
Bid,Maker,-0.001158993923979,aux,0.0,base,True,True,-0.001158993923979,False
Bid,Maker,-0.0011140236187262,aux,0.0,base,True,True,-0.0011140236187262,False
Bid,Maker,-0.0010300899887514,aux,0.0,base,True,True,-0.0010300899887514,False
Ask,Maker,-2.5e-06,base,0.0,quote,True,True,-2.5e-06,False
Ask,Maker,-4.25e-05,base,0.0,quote,True,True,-4.25e-05,False
Ask,Maker,-0.030881,base,0.0,quote,True,True,-0.030881,False
Ask,Maker,-0.0011316769316909,aux,0.0,quote,True,True,-0.0011316769316909,False
Bid,Maker,-9.80773765397e-05,aux,0.0,base,True,True,-9.80773765397e-05,False
Ask,Maker,-0.05,base,0.0,quote,True,True,-0.05,False
Bid,Maker,-0.000645099002949,aux,0.0,base,True,True,-0.000645099002949,False
Bid,Maker,-0.0011177154870357,aux,0.0,base,True,True,-0.0011177154870357,False
Bid,Maker,-0.0006788980063034,aux,0.0,base,True,True,-0.0006788980063034,False
Bid,Maker,-0.0011135152195258,aux,0.0,base,True,True,-0.0011135152195258,False
Ask,Maker,-0.0014022359377191,aux,0.0,quote,True,True,-0.0014022359377191,False
Ask,Maker,-0.002,base,0.0,quote,True,True,-0.002,False
Bid,Maker,-0.00110306265805,aux,0.0,base,True,True,-0.00110306265805,False
Ask,Maker,-0.0011286936236391,aux,0.0,quote,True,True,-0.0011286936236391,False
Bid,Maker,-0.0078531,quote,0.0,base,True,True,-0.0078531,False
Bid,Maker,-0.0078531,quote,0.0,base,True,True,-0.0078531,False
Bid,Maker,-0.0078531,quote,0.0,base,True,True,-0.0078531,False
Ask,Maker,-0.05,base,0.0,quote,True,True,-0.05,False
Ask,Maker,-0.0001551025510117,aux,0.0,quote,True,True,-0.0001551025510117,False
Bid,Maker,-0.0013931930272108,aux,0.0,base,True,True,-0.0013931930272108,False
Bid,Maker,-0.0013931930272108,aux,0.0,base,True,True,-0.0013931930272108,False
Bid,Maker,-0.00982194,quote,0.0,base,True,True,-0.00982194,False
Bid,Maker,-0.00771975,quote,0.0,base,True,True,-0.00771975,False
Bid,Maker,-0.0010984294611427,aux,0.0,base,True,True,-0.0010984294611427,False
Bid,Maker,-0.001098145139453,aux,0.0,base,True,True,-0.001098145139453,False
Ask,Maker,-0.0010817752596789,aux,0.0,quote,True,True,-0.0010817752596789,False
Bid,Maker,-0.0010771715817694,aux,0.0,base,True,True,-0.0010771715817694,False
